Expt,Run,Speed
26/12/16,1,850
26/12/16,2,740
26/12/16,3,900
26/12/16,4,1070
26/12/16,5,930
26/12/16,6,850
26/12/16,7,950
26/12/16,8,980
26/12/16,9,980
26/12/16,10,880
26/12/16,11,1000
26/12/16,12,980
26/12/16,13,930
26/12/16,14,650
26/12/16,15,760
26/12/16,16,810
26/12/16,17,1000
26/12/16,18,1000
26/12/16,19,960
26/12/16,20,960
02/01/17,1,960
02/01/17,2,940
02/01/17,3,960
02/01/17,4,940
02/01/17,5,880
02/01/17,6,800
02/01/17,7,850
02/01/17,8,880
02/01/17,9,900
02/01/17,10,840
02/01/17,11,830
02/01/17,12,790
02/01/17,13,810
02/01/17,14,880
02/01/17,15,880
02/01/17,16,830
02/01/17,17,800
02/01/17,18,790
02/01/17,19,760
02/01/17,20,800
09/01/17,1,880
09/01/17,2,880
09/01/17,3,880
09/01/17,4,860
09/01/17,5,720
09/01/17,6,720
09/01/17,7,620
09/01/17,8,860
09/01/17,9,970
09/01/17,10,950
09/01/17,11,880
09/01/17,12,910
09/01/17,13,850
09/01/17,14,870
09/01/17,15,840
09/01/17,16,840
09/01/17,17,850
09/01/17,18,840
09/01/17,19,840
09/01/17,20,840
16/01/17,1,890
16/01/17,2,810
16/01/17,3,810
16/01/17,4,820
16/01/17,5,800
16/01/17,6,770
16/01/17,7,760
16/01/17,8,740
16/01/17,9,750
16/01/17,10,760
16/01/17,11,910
16/01/17,12,920
16/01/17,13,890
16/01/17,14,860
16/01/17,15,880
16/01/17,16,720
16/01/17,17,840
16/01/17,18,850
16/01/17,19,850
16/01/17,20,780
23/01/17,1,890
23/01/17,2,840
23/01/17,3,780
23/01/17,4,810
23/01/17,5,760
23/01/17,6,810
23/01/17,7,790
23/01/17,8,810
23/01/17,9,820
23/01/17,10,850
23/01/17,11,870
23/01/17,12,870
23/01/17,13,810
23/01/17,14,740
23/01/17,15,810
23/01/17,16,940
23/01/17,17,950
23/01/17,18,800
23/01/17,19,810
23/01/17,20,870
30/01/17,1,990
30/01/17,2,940
30/01/17,3,880
30/01/17,4,910
30/01/17,5,760
30/01/17,6,910
30/01/17,7,890
30/01/17,8,910
30/01/17,9,920
30/01/17,10,950
30/01/17,11,970
30/01/17,12,970
30/01/17,13,910
30/01/17,14,840
30/01/17,15,910
30/01/17,16,1140
30/01/17,17,1150
30/01/17,18,900
30/01/17,19,910
30/01/17,20,970
