Expt,Run,Speed
01/11/16,1,850
01/11/16,2,740
01/11/16,3,900
01/11/16,4,1070
01/11/16,5,930
01/11/16,6,850
01/11/16,7,950
01/11/16,8,980
01/11/16,9,980
01/11/16,10,880
01/11/16,11,1000
01/11/16,12,980
01/11/16,13,930
01/11/16,14,650
01/11/16,15,760
01/11/16,16,810
01/11/16,17,1000
01/11/16,18,1000
01/11/16,19,960
01/11/16,20,960
01/12/16,1,960
01/12/16,2,940
01/12/16,3,960
01/12/16,4,940
01/12/16,5,880
01/12/16,6,800
01/12/16,7,850
01/12/16,8,880
01/12/16,9,900
01/12/16,10,840
01/12/16,11,830
01/12/16,12,790
01/12/16,13,810
01/12/16,14,880
01/12/16,15,880
01/12/16,16,830
01/12/16,17,800
01/12/16,18,790
01/12/16,19,760
01/12/16,20,800
01/01/17,1,880
01/01/17,2,880
01/01/17,3,880
01/01/17,4,860
01/01/17,5,720
01/01/17,6,720
01/01/17,7,620
01/01/17,8,860
01/01/17,9,970
01/01/17,10,950
01/01/17,11,880
01/01/17,12,910
01/01/17,13,850
01/01/17,14,870
01/01/17,15,840
01/01/17,16,840
01/01/17,17,850
01/01/17,18,840
01/01/17,19,840
01/01/17,20,840
01/02/17,1,890
01/02/17,2,810
01/02/17,3,810
01/02/17,4,820
01/02/17,5,800
01/02/17,6,770
01/02/17,7,760
01/02/17,8,740
01/02/17,9,750
01/02/17,10,760
01/02/17,11,910
01/02/17,12,920
01/02/17,13,890
01/02/17,14,860
01/02/17,15,880
01/02/17,16,720
01/02/17,17,840
01/02/17,18,850
01/02/17,19,850
01/02/17,20,780
01/03/17,1,890
01/03/17,2,840
01/03/17,3,780
01/03/17,4,810
01/03/17,5,760
01/03/17,6,810
01/03/17,7,790
01/03/17,8,810
01/03/17,9,820
01/03/17,10,850
01/03/17,11,870
01/03/17,12,870
01/03/17,13,810
01/03/17,14,740
01/03/17,15,810
01/03/17,16,940
01/03/17,17,950
01/03/17,18,800
01/03/17,19,810
01/03/17,20,870
