date,module,variable,value
05/02/17,#VerifyLocal [Service] performance dashboard,For post,110
12/02/17,#VerifyLocal [Service] performance dashboard,For post,130
19/02/17,#VerifyLocal [Service] performance dashboard,For post,160
26/02/17,#VerifyLocal [Service] performance dashboard,For post,200
05/03/17,#VerifyLocal [Service] performance dashboard,For post,250
12/03/17,#VerifyLocal [Service] performance dashboard,For post,310
19/03/17,#VerifyLocal [Service] performance dashboard,For post,380
26/03/17,#VerifyLocal [Service] performance dashboard,For post,460
02/04/17,#VerifyLocal [Service] performance dashboard,For post,550
09/04/17,#VerifyLocal [Service] performance dashboard,For post,550
05/02/17,#VerifyLocal [Service] performance dashboard,For face to face,165
12/02/17,#VerifyLocal [Service] performance dashboard,For face to face,195
19/02/17,#VerifyLocal [Service] performance dashboard,For face to face,240
26/02/17,#VerifyLocal [Service] performance dashboard,For face to face,300
05/03/17,#VerifyLocal [Service] performance dashboard,For face to face,375
12/03/17,#VerifyLocal [Service] performance dashboard,For face to face,465
19/03/17,#VerifyLocal [Service] performance dashboard,For face to face,570
26/03/17,#VerifyLocal [Service] performance dashboard,For face to face,690
02/04/17,#VerifyLocal [Service] performance dashboard,For face to face,825
09/04/17,#VerifyLocal [Service] performance dashboard,For face to face,825
05/02/17,#VerifyLocal [Service] performance dashboard,For online GOV.UK Verify,220
12/02/17,#VerifyLocal [Service] performance dashboard,For online GOV.UK Verify,260
19/02/17,#VerifyLocal [Service] performance dashboard,For online GOV.UK Verify,320
26/02/17,#VerifyLocal [Service] performance dashboard,For online GOV.UK Verify,400
05/03/17,#VerifyLocal [Service] performance dashboard,For online GOV.UK Verify,500
12/03/17,#VerifyLocal [Service] performance dashboard,For online GOV.UK Verify,620
19/03/17,#VerifyLocal [Service] performance dashboard,For online GOV.UK Verify,760
26/03/17,#VerifyLocal [Service] performance dashboard,For online GOV.UK Verify,920
02/04/17,#VerifyLocal [Service] performance dashboard,For online GOV.UK Verify,1100
09/04/17,#VerifyLocal [Service] performance dashboard,For online GOV.UK Verify,1100
05/02/17,#VerifyLocal [Service] performance dashboard,For online legacy route,330
12/02/17,#VerifyLocal [Service] performance dashboard,For online legacy route,390
19/02/17,#VerifyLocal [Service] performance dashboard,For online legacy route,480
26/02/17,#VerifyLocal [Service] performance dashboard,For online legacy route,600
05/03/17,#VerifyLocal [Service] performance dashboard,For online legacy route,750
12/03/17,#VerifyLocal [Service] performance dashboard,For online legacy route,930
19/03/17,#VerifyLocal [Service] performance dashboard,For online legacy route,1140
26/03/17,#VerifyLocal [Service] performance dashboard,For online legacy route,1380
02/04/17,#VerifyLocal [Service] performance dashboard,For online legacy route,1650
09/04/17,#VerifyLocal [Service] performance dashboard,For online legacy route,1650
05/02/17,#VerifyLocal [Service] performance dashboard,For telephone,105
12/02/17,#VerifyLocal [Service] performance dashboard,For telephone,124
19/02/17,#VerifyLocal [Service] performance dashboard,For telephone,152
26/02/17,#VerifyLocal [Service] performance dashboard,For telephone,190
05/03/17,#VerifyLocal [Service] performance dashboard,For telephone,238
12/03/17,#VerifyLocal [Service] performance dashboard,For telephone,295
19/03/17,#VerifyLocal [Service] performance dashboard,For telephone,361
26/03/17,#VerifyLocal [Service] performance dashboard,For telephone,437
02/04/17,#VerifyLocal [Service] performance dashboard,For telephone,523
09/04/17,#VerifyLocal [Service] performance dashboard,For telephone,523
05/02/17,Number of user enquiries,Total contact,930
12/02/17,Number of user enquiries,Total contact,1099
19/02/17,Number of user enquiries,Total contact,1352
26/02/17,Number of user enquiries,Total contact,1690
05/03/17,Number of user enquiries,Total contact,2113
12/03/17,Number of user enquiries,Total contact,2620
19/03/17,Number of user enquiries,Total contact,3211
26/03/17,Number of user enquiries,Total contact,3887
02/04/17,Number of user enquiries,Total contact,4648
09/04/17,Number of user enquiries,Total contact,4648
05/02/17,"Users who use Verify, abandon or use legacy route when starting an online application",Use legacy route,110
12/02/17,"Users who use Verify, abandon or use legacy route when starting an online application",Use legacy route,130
19/02/17,"Users who use Verify, abandon or use legacy route when starting an online application",Use legacy route,160
26/02/17,"Users who use Verify, abandon or use legacy route when starting an online application",Use legacy route,200
05/03/17,"Users who use Verify, abandon or use legacy route when starting an online application",Use legacy route,250
12/03/17,"Users who use Verify, abandon or use legacy route when starting an online application",Use legacy route,310
19/03/17,"Users who use Verify, abandon or use legacy route when starting an online application",Use legacy route,380
26/03/17,"Users who use Verify, abandon or use legacy route when starting an online application",Use legacy route,460
02/04/17,"Users who use Verify, abandon or use legacy route when starting an online application",Use legacy route,550
09/04/17,"Users who use Verify, abandon or use legacy route when starting an online application",Use legacy route,550
05/02/17,"Users who use Verify, abandon or use legacy route when starting an online application",Use GOV.UK Verify,165
12/02/17,"Users who use Verify, abandon or use legacy route when starting an online application",Use GOV.UK Verify,195
19/02/17,"Users who use Verify, abandon or use legacy route when starting an online application",Use GOV.UK Verify,240
26/02/17,"Users who use Verify, abandon or use legacy route when starting an online application",Use GOV.UK Verify,300
05/03/17,"Users who use Verify, abandon or use legacy route when starting an online application",Use GOV.UK Verify,375
12/03/17,"Users who use Verify, abandon or use legacy route when starting an online application",Use GOV.UK Verify,465
19/03/17,"Users who use Verify, abandon or use legacy route when starting an online application",Use GOV.UK Verify,570
26/03/17,"Users who use Verify, abandon or use legacy route when starting an online application",Use GOV.UK Verify,690
02/04/17,"Users who use Verify, abandon or use legacy route when starting an online application",Use GOV.UK Verify,825
09/04/17,"Users who use Verify, abandon or use legacy route when starting an online application",Use GOV.UK Verify,825
05/02/17,"Users who use Verify, abandon or use legacy route when starting an online application",Abandon application,220
12/02/17,"Users who use Verify, abandon or use legacy route when starting an online application",Abandon application,260
19/02/17,"Users who use Verify, abandon or use legacy route when starting an online application",Abandon application,320
26/02/17,"Users who use Verify, abandon or use legacy route when starting an online application",Abandon application,400
05/03/17,"Users who use Verify, abandon or use legacy route when starting an online application",Abandon application,500
12/03/17,"Users who use Verify, abandon or use legacy route when starting an online application",Abandon application,620
19/03/17,"Users who use Verify, abandon or use legacy route when starting an online application",Abandon application,760
26/03/17,"Users who use Verify, abandon or use legacy route when starting an online application",Abandon application,920
02/04/17,"Users who use Verify, abandon or use legacy route when starting an online application",Abandon application,1100
09/04/17,"Users who use Verify, abandon or use legacy route when starting an online application",Abandon application,1100
05/02/17,Channel breakdown for transactions,Number of transactions face to face,110
12/02/17,Channel breakdown for transactions,Number of transactions face to face,130
19/02/17,Channel breakdown for transactions,Number of transactions face to face,160
26/02/17,Channel breakdown for transactions,Number of transactions face to face,200
05/03/17,Channel breakdown for transactions,Number of transactions face to face,250
12/03/17,Channel breakdown for transactions,Number of transactions face to face,310
19/03/17,Channel breakdown for transactions,Number of transactions face to face,380
26/03/17,Channel breakdown for transactions,Number of transactions face to face,460
02/04/17,Channel breakdown for transactions,Number of transactions face to face,550
09/04/17,Channel breakdown for transactions,Number of transactions face to face,550
05/02/17,Channel breakdown for transactions,Number of transactions online GOV.UK Verify,165
12/02/17,Channel breakdown for transactions,Number of transactions online GOV.UK Verify,195
19/02/17,Channel breakdown for transactions,Number of transactions online GOV.UK Verify,240
26/02/17,Channel breakdown for transactions,Number of transactions online GOV.UK Verify,300
05/03/17,Channel breakdown for transactions,Number of transactions online GOV.UK Verify,375
