Expt,Run,Speed
one,1,850
one,2,740
one,3,900
one,4,1070
one,5,930
one,6,850
one,7,950
one,8,980
one,9,980
one,10,880
one,11,1000
one,12,980
one,13,930
one,14,650
one,15,760
one,16,810
one,17,1000
one,18,1000
one,19,960
one,20,960
two,1,960
two,2,940
two,3,960
two,4,940
two,5,880
two,6,800
two,7,850
two,8,880
two,9,900
two,10,840
two,11,830
two,12,790
two,13,810
two,14,880
two,15,880
two,16,830
two,17,800
two,18,790
two,19,760
two,20,800
three,1,880
three,2,880
three,3,880
three,4,860
three,5,720
three,6,720
three,7,620
three,8,860
three,9,970
three,10,950
three,11,880
three,12,910
three,13,850
three,14,870
three,15,840
three,16,840
three,17,850
three,18,840
three,19,840
three,20,840
four,1,890
four,2,810
four,3,810
four,4,820
four,5,800
four,6,770
four,7,760
four,8,740
four,9,750
four,10,760
four,11,910
four,12,920
four,13,890
four,14,860
four,15,880
four,16,720
four,17,840
four,18,850
four,19,850
four,20,780
five,1,890
five,2,840
five,3,780
five,4,810
five,5,760
five,6,810
five,7,790
five,8,810
five,9,820
five,10,850
five,11,870
five,12,870
five,13,810
five,14,740
five,15,810
five,16,940
five,17,950
five,18,800
five,19,810
five,20,870
