Date,variable,tot_value
2016-12-25,1,100
2017-01-01,1,110
2017-01-08,1,130
2017-01-15,1,160
2017-01-22,1,200
2017-01-29,1,250
2017-02-05,1,310
2017-02-12,1,380
2017-02-19,1,460
2017-02-26,1,550
2017-03-05,1,550
2016-12-25,2,150
2017-01-01,2,165
2017-01-08,2,195
2017-01-15,2,240
2017-01-22,2,300
2017-01-29,2,375
2017-02-05,2,465
2017-02-12,2,570
2017-02-19,2,690
2017-02-26,2,825
2017-03-05,2,825
2016-12-25,3,200
2017-01-01,3,220
2017-01-08,3,260
2017-01-15,3,320
2017-01-22,3,400
2017-01-29,3,500
2017-02-05,3,620
2017-02-12,3,760
2017-02-19,3,920
2017-02-26,3,1100
2017-03-05,3,1100
2016-12-25,4,300
2017-01-01,4,330
2017-01-08,4,390
2017-01-15,4,480
2017-01-22,4,600
2017-01-29,4,750
2017-02-05,4,930
2017-02-12,4,1140
2017-02-19,4,1380
2017-02-26,4,1650
2017-03-05,4,1650
2016-12-25,5,95
2017-01-01,5,105
2017-01-08,5,124
2017-01-15,5,152
2017-01-22,5,190
2017-01-29,5,238
2017-02-05,5,295
2017-02-12,5,361
2017-02-19,5,437
2017-02-26,5,523
2017-03-05,5,523
