Expt,Run,Speed
1,one ,850
1,two,740
1,three,900
1,four,1070
1,five,930
1,six,850
1,seven,950
1,eight,980
1,nine,980
1,ten,880
1,eleven,1000
1,twelve,980
1,thirteen,930
1,fourteen,650
1,fifteen,760
1,sisteen,810
1,seventeen,1000
1,eighteen,1000
1,nineteen,960
1,twenty,960
2,one ,960
2,two,940
2,three,960
2,four,940
2,five,880
2,six,800
2,seven,850
2,eight,880
2,nine,900
2,ten,840
2,eleven,830
2,twelve,790
2,thirteen,810
2,fourteen,880
2,fifteen,880
2,sisteen,830
2,seventeen,800
2,eighteen,790
2,nineteen,760
2,twenty,800
3,one ,880
3,two,880
3,three,880
3,four,860
3,five,720
3,six,720
3,seven,620
3,eight,860
3,nine,970
3,ten,950
3,eleven,880
3,twelve,910
3,thirteen,850
3,fourteen,870
3,fifteen,840
3,sisteen,840
3,seventeen,850
3,eighteen,840
3,nineteen,840
3,twenty,840
4,one ,890
4,two,810
4,three,810
4,four,820
4,five,800
4,six,770
4,seven,760
4,eight,740
4,nine,750
4,ten,760
4,eleven,910
4,twelve,920
4,thirteen,890
4,fourteen,860
4,fifteen,880
4,sisteen,720
4,seventeen,840
4,eighteen,850
4,nineteen,850
4,twenty,780
5,one ,890
5,two,840
5,three,780
5,four,810
5,five,760
5,six,810
5,seven,790
5,eight,810
5,nine,820
5,ten,850
5,eleven,870
5,twelve,870
5,thirteen,810
5,fourteen,740
5,fifteen,810
5,sisteen,940
5,seventeen,950
5,eighteen,800
5,nineteen,810
5,twenty,870
