Expt,Run,Speed
one,2016-11-01,850
one,2016-12-01,740
one,2017-01-01,900
one,2017-02-01,1070
one,2017-03-01,930
two,2016-11-01,960
two,2016-12-01,940
two,2017-01-01,960
two,2017-02-01,940
two,2017-03-01,880
three,2016-11-01,880
three,2016-12-01,880
three,2017-01-01,880
three,2017-02-01,860
three,2017-03-01,720
four,2016-11-01,890
four,2016-12-01,810
four,2017-01-01,810
four,2017-02-01,820
four,2017-03-01,800
five,2016-11-01,890
five,2016-12-01,840
five,2017-01-01,780
five,2017-02-01,810
five,2017-03-01,760
