Date,variable,tot_value
05/02/2017,For post,110
12/02/2017,For post,130
19/02/2017,For post,160
26/02/2017,For post,200
05/03/2017,For post,250
12/03/2017,For post,310
19/03/2017,For post,380
26/03/2017,For post,460
02/04/2017,For post,550
09/04/2017,For post,550
05/02/2017,For face to face,165
12/02/2017,For face to face,195
19/02/2017,For face to face,240
26/02/2017,For face to face,300
05/03/2017,For face to face,375
12/03/2017,For face to face,465
19/03/2017,For face to face,570
26/03/2017,For face to face,690
02/04/2017,For face to face,825
09/04/2017,For face to face,825
05/02/2017,For online GOV.UK Verify,220
12/02/2017,For online GOV.UK Verify,260
19/02/2017,For online GOV.UK Verify,320
26/02/2017,For online GOV.UK Verify,400
05/03/2017,For online GOV.UK Verify,500
12/03/2017,For online GOV.UK Verify,620
19/03/2017,For online GOV.UK Verify,760
26/03/2017,For online GOV.UK Verify,920
02/04/2017,For online GOV.UK Verify,1100
09/04/2017,For online GOV.UK Verify,1100
05/02/2017,For online legacy route,330
12/02/2017,For online legacy route,390
19/02/2017,For online legacy route,480
26/02/2017,For online legacy route,600
05/03/2017,For online legacy route,750
12/03/2017,For online legacy route,930
19/03/2017,For online legacy route,1140
26/03/2017,For online legacy route,1380
02/04/2017,For online legacy route,1650
09/04/2017,For online legacy route,1650
05/02/2017,For telephone,105
12/02/2017,For telephone,124
19/02/2017,For telephone,152
26/02/2017,For telephone,190
05/03/2017,For telephone,238
12/03/2017,For telephone,295
19/03/2017,For telephone,361
26/03/2017,For telephone,437
02/04/2017,For telephone,523
09/04/2017,For telephone,523
