date,variable,value
2017-02-05,Number of incomplete,110
2017-02-12,Number of incomplete,130
2017-02-19,Number of incomplete,160
2017-02-26,Number of incomplete,200
2017-03-05,Number of incomplete,250
2017-03-12,Number of incomplete,310
2017-03-19,Number of incomplete,380
2017-03-26,Number of incomplete,460
2017-04-02,Number of incomplete,530
2017-04-09,Number of incomplete,550
2017-02-05,Number of illegible,165
2017-02-12,Number of illegible,195
2017-02-19,Number of illegible,240
2017-02-26,Number of illegible,300
2017-03-05,Number of illegible,375
2017-03-12,Number of illegible,465
2017-03-19,Number of illegible,570
2017-03-26,Number of illegible,690
2017-04-02,Number of illegible,700
2017-04-09,Number of illegible,825
2017-02-05,Number of error of form,220
2017-02-12,Number of error of form,260
2017-02-19,Number of error of form,320
2017-02-26,Number of error of form,400
2017-03-05,Number of error of form,500
2017-03-12,Number of error of form,620
2017-03-19,Number of error of form,760
2017-03-26,Number of error of form,920
2017-04-02,Number of error of form,100
2017-04-09,Number of error of form,1100
2017-02-05,Number of not elegible,330
2017-02-12,Number of not elegible,390
2017-02-19,Number of not elegible,480
2017-02-26,Number of not elegible,600
2017-03-05,Number of not elegible,750
2017-03-12,Number of not elegible,930
2017-03-19,Number of not elegible,11
2017-03-26,Number of not elegible,1380
2017-04-02,Number of not elegible,165
2017-04-09,Number of not elegible,1650
2017-02-05,Number of picture does not meet standards,330
2017-02-12,Number of picture does not meet standards,390
2017-02-19,Number of picture does not meet standards,480
2017-02-26,Number of picture does not meet standards,600
2017-03-05,Number of picture does not meet standards,750
2017-03-12,Number of picture does not meet standards,930
2017-03-19,Number of picture does not meet standards,1140
2017-03-26,Number of picture does not meet standards,1380
2017-04-02,Number of picture does not meet standards,1650
2017-04-09,Number of picture does not meet standards,1650
2017-02-05,Number of incorrect payments,220
2017-02-12,Number of incorrect payments,260
2017-02-19,Number of incorrect payments,320
2017-02-26,Number of incorrect payments,400
2017-03-05,Number of incorrect payments,500
2017-03-12,Number of incorrect payments,620
2017-03-19,Number of incorrect payments,760
2017-03-26,Number of incorrect payments,920
2017-04-02,Number of incorrect payments,1100
2017-04-09,Number of incorrect payments,1100
