Date,variable,value
26/12/16,For post,100
02/01/17,For post,110
09/01/17,For post,130
16/01/17,For post,160
23/01/17,For post,200
30/01/17,For post,250
06/02/17,For post,310
13/02/17,For post,380
20/02/17,For post,460
27/02/17,For post,550
06/03/17,For post,550
26/12/16,For face to face,150
02/01/17,For face to face,165
09/01/17,For face to face,195
16/01/17,For face to face,240
23/01/17,For face to face,300
30/01/17,For face to face,375
06/02/17,For face to face,465
13/02/17,For face to face,570
20/02/17,For face to face,690
27/02/17,For face to face,825
06/03/17,For face to face,825
26/12/16,For online GOV.UK Verify,200
02/01/17,For online GOV.UK Verify,220
09/01/17,For online GOV.UK Verify,260
16/01/17,For online GOV.UK Verify,320
23/01/17,For online GOV.UK Verify,400
30/01/17,For online GOV.UK Verify,500
06/02/17,For online GOV.UK Verify,620
13/02/17,For online GOV.UK Verify,760
20/02/17,For online GOV.UK Verify,920
27/02/17,For online GOV.UK Verify,1100
06/03/17,For online GOV.UK Verify,1100
26/12/16,For online legacy route,300
02/01/17,For online legacy route,330
09/01/17,For online legacy route,390
16/01/17,For online legacy route,480
23/01/17,For online legacy route,600
30/01/17,For online legacy route,750
06/02/17,For online legacy route,930
13/02/17,For online legacy route,1140
20/02/17,For online legacy route,1380
27/02/17,For online legacy route,1650
06/03/17,For online legacy route,1650
26/12/16,For telephone,95
02/01/17,For telephone,105
09/01/17,For telephone,124
16/01/17,For telephone,152
23/01/17,For telephone,190
30/01/17,For telephone,238
06/02/17,For telephone,295
13/02/17,For telephone,361
20/02/17,For telephone,437
27/02/17,For telephone,523
06/03/17,For telephone,523
