,Date,variable,value,module
0,2016-12-26,For post,100,#VerifyLocal [Service] performance dashboard
1,2017-01-02,For post,110,#VerifyLocal [Service] performance dashboard
2,2017-01-09,For post,130,#VerifyLocal [Service] performance dashboard
3,2017-01-16,For post,160,#VerifyLocal [Service] performance dashboard
4,2017-01-23,For post,200,#VerifyLocal [Service] performance dashboard
5,2017-01-30,For post,250,#VerifyLocal [Service] performance dashboard
6,2017-02-06,For post,310,#VerifyLocal [Service] performance dashboard
7,2017-02-13,For post,380,#VerifyLocal [Service] performance dashboard
8,2017-02-20,For post,460,#VerifyLocal [Service] performance dashboard
9,2017-02-27,For post,550,#VerifyLocal [Service] performance dashboard
10,2017-03-06,For post,550,#VerifyLocal [Service] performance dashboard
11,2016-12-26,For face to face,150,#VerifyLocal [Service] performance dashboard
12,2017-01-02,For face to face,165,#VerifyLocal [Service] performance dashboard
13,2017-01-09,For face to face,195,#VerifyLocal [Service] performance dashboard
14,2017-01-16,For face to face,240,#VerifyLocal [Service] performance dashboard
15,2017-01-23,For face to face,300,#VerifyLocal [Service] performance dashboard
16,2017-01-30,For face to face,375,#VerifyLocal [Service] performance dashboard
17,2017-02-06,For face to face,465,#VerifyLocal [Service] performance dashboard
18,2017-02-13,For face to face,570,#VerifyLocal [Service] performance dashboard
19,2017-02-20,For face to face,690,#VerifyLocal [Service] performance dashboard
20,2017-02-27,For face to face,825,#VerifyLocal [Service] performance dashboard
21,2017-03-06,For face to face,825,#VerifyLocal [Service] performance dashboard
22,2016-12-26,For online GOV.UK Verify,200,#VerifyLocal [Service] performance dashboard
23,2017-01-02,For online GOV.UK Verify,220,#VerifyLocal [Service] performance dashboard
24,2017-01-09,For online GOV.UK Verify,260,#VerifyLocal [Service] performance dashboard
25,2017-01-16,For online GOV.UK Verify,320,#VerifyLocal [Service] performance dashboard
26,2017-01-23,For online GOV.UK Verify,400,#VerifyLocal [Service] performance dashboard
27,2017-01-30,For online GOV.UK Verify,500,#VerifyLocal [Service] performance dashboard
28,2017-02-06,For online GOV.UK Verify,620,#VerifyLocal [Service] performance dashboard
29,2017-02-13,For online GOV.UK Verify,760,#VerifyLocal [Service] performance dashboard
30,2017-02-20,For online GOV.UK Verify,920,#VerifyLocal [Service] performance dashboard
31,2017-02-27,For online GOV.UK Verify,1100,#VerifyLocal [Service] performance dashboard
32,2017-03-06,For online GOV.UK Verify,1100,#VerifyLocal [Service] performance dashboard
33,2016-12-26,For online legacy route,300,#VerifyLocal [Service] performance dashboard
34,2017-01-02,For online legacy route,330,#VerifyLocal [Service] performance dashboard
35,2017-01-09,For online legacy route,390,#VerifyLocal [Service] performance dashboard
36,2017-01-16,For online legacy route,480,#VerifyLocal [Service] performance dashboard
37,2017-01-23,For online legacy route,600,#VerifyLocal [Service] performance dashboard
38,2017-01-30,For online legacy route,750,#VerifyLocal [Service] performance dashboard
39,2017-02-06,For online legacy route,930,#VerifyLocal [Service] performance dashboard
40,2017-02-13,For online legacy route,1140,#VerifyLocal [Service] performance dashboard
41,2017-02-20,For online legacy route,1380,#VerifyLocal [Service] performance dashboard
42,2017-02-27,For online legacy route,1650,#VerifyLocal [Service] performance dashboard
43,2017-03-06,For online legacy route,1650,#VerifyLocal [Service] performance dashboard
44,2016-12-26,For telephone,95,#VerifyLocal [Service] performance dashboard
45,2017-01-02,For telephone,105,#VerifyLocal [Service] performance dashboard
46,2017-01-09,For telephone,124,#VerifyLocal [Service] performance dashboard
47,2017-01-16,For telephone,152,#VerifyLocal [Service] performance dashboard
48,2017-01-23,For telephone,190,#VerifyLocal [Service] performance dashboard
49,2017-01-30,For telephone,238,#VerifyLocal [Service] performance dashboard
50,2017-02-06,For telephone,295,#VerifyLocal [Service] performance dashboard
51,2017-02-13,For telephone,361,#VerifyLocal [Service] performance dashboard
52,2017-02-20,For telephone,437,#VerifyLocal [Service] performance dashboard
53,2017-02-27,For telephone,523,#VerifyLocal [Service] performance dashboard
54,2017-03-06,For telephone,523,#VerifyLocal [Service] performance dashboard
55,2016-12-26,Total contact,845,Number of user enquiries
56,2017-01-02,Total contact,930,Number of user enquiries
57,2017-01-09,Total contact,1099,Number of user enquiries
58,2017-01-16,Total contact,1352,Number of user enquiries
59,2017-01-23,Total contact,1690,Number of user enquiries
60,2017-01-30,Total contact,2113,Number of user enquiries
61,2017-02-06,Total contact,2620,Number of user enquiries
62,2017-02-13,Total contact,3211,Number of user enquiries
63,2017-02-20,Total contact,3887,Number of user enquiries
64,2017-02-27,Total contact,4648,Number of user enquiries
65,2017-03-06,Total contact,4648,Number of user enquiries
66,2016-12-26,Use legacy route,100,"Users who use Verify, abandon or use legacy route when starting an online application"
67,2017-01-02,Use legacy route,110,"Users who use Verify, abandon or use legacy route when starting an online application"
68,2017-01-09,Use legacy route,130,"Users who use Verify, abandon or use legacy route when starting an online application"
69,2017-01-16,Use legacy route,160,"Users who use Verify, abandon or use legacy route when starting an online application"
70,2017-01-23,Use legacy route,200,"Users who use Verify, abandon or use legacy route when starting an online application"
71,2017-01-30,Use legacy route,250,"Users who use Verify, abandon or use legacy route when starting an online application"
72,2017-02-06,Use legacy route,310,"Users who use Verify, abandon or use legacy route when starting an online application"
73,2017-02-13,Use legacy route,380,"Users who use Verify, abandon or use legacy route when starting an online application"
74,2017-02-20,Use legacy route,460,"Users who use Verify, abandon or use legacy route when starting an online application"
75,2017-02-27,Use legacy route,550,"Users who use Verify, abandon or use legacy route when starting an online application"
76,2017-03-06,Use legacy route,550,"Users who use Verify, abandon or use legacy route when starting an online application"
77,2016-12-26,Use GOV.UK Verify,150,"Users who use Verify, abandon or use legacy route when starting an online application"
78,2017-01-02,Use GOV.UK Verify,165,"Users who use Verify, abandon or use legacy route when starting an online application"
79,2017-01-09,Use GOV.UK Verify,195,"Users who use Verify, abandon or use legacy route when starting an online application"
80,2017-01-16,Use GOV.UK Verify,240,"Users who use Verify, abandon or use legacy route when starting an online application"
81,2017-01-23,Use GOV.UK Verify,300,"Users who use Verify, abandon or use legacy route when starting an online application"
82,2017-01-30,Use GOV.UK Verify,375,"Users who use Verify, abandon or use legacy route when starting an online application"
83,2017-02-06,Use GOV.UK Verify,465,"Users who use Verify, abandon or use legacy route when starting an online application"
84,2017-02-13,Use GOV.UK Verify,570,"Users who use Verify, abandon or use legacy route when starting an online application"
85,2017-02-20,Use GOV.UK Verify,690,"Users who use Verify, abandon or use legacy route when starting an online application"
86,2017-02-27,Use GOV.UK Verify,825,"Users who use Verify, abandon or use legacy route when starting an online application"
87,2017-03-06,Use GOV.UK Verify,825,"Users who use Verify, abandon or use legacy route when starting an online application"
88,2016-12-26,Abandon application,200,"Users who use Verify, abandon or use legacy route when starting an online application"
89,2017-01-02,Abandon application,220,"Users who use Verify, abandon or use legacy route when starting an online application"
90,2017-01-09,Abandon application,260,"Users who use Verify, abandon or use legacy route when starting an online application"
91,2017-01-16,Abandon application,320,"Users who use Verify, abandon or use legacy route when starting an online application"
92,2017-01-23,Abandon application,400,"Users who use Verify, abandon or use legacy route when starting an online application"
93,2017-01-30,Abandon application,500,"Users who use Verify, abandon or use legacy route when starting an online application"
94,2017-02-06,Abandon application,620,"Users who use Verify, abandon or use legacy route when starting an online application"
95,2017-02-13,Abandon application,760,"Users who use Verify, abandon or use legacy route when starting an online application"
96,2017-02-20,Abandon application,920,"Users who use Verify, abandon or use legacy route when starting an online application"
97,2017-02-27,Abandon application,1100,"Users who use Verify, abandon or use legacy route when starting an online application"
98,2017-03-06,Abandon application,1100,"Users who use Verify, abandon or use legacy route when starting an online application"
99,2016-12-26,Number of transactions face to face,100,Channel breakdown for transactions
100,2017-01-02,Number of transactions face to face,110,Channel breakdown for transactions
101,2017-01-09,Number of transactions face to face,130,Channel breakdown for transactions
102,2017-01-16,Number of transactions face to face,160,Channel breakdown for transactions
103,2017-01-23,Number of transactions face to face,200,Channel breakdown for transactions
104,2017-01-30,Number of transactions face to face,250,Channel breakdown for transactions
105,2017-02-06,Number of transactions face to face,310,Channel breakdown for transactions
106,2017-02-13,Number of transactions face to face,380,Channel breakdown for transactions
107,2017-02-20,Number of transactions face to face,460,Channel breakdown for transactions
108,2017-02-27,Number of transactions face to face,550,Channel breakdown for transactions
109,2017-03-06,Number of transactions face to face,550,Channel breakdown for transactions
110,2016-12-26,Number of transactions online GOV.UK Verify,150,Channel breakdown for transactions
111,2017-01-02,Number of transactions online GOV.UK Verify,165,Channel breakdown for transactions
112,2017-01-09,Number of transactions online GOV.UK Verify,195,Channel breakdown for transactions
113,2017-01-16,Number of transactions online GOV.UK Verify,240,Channel breakdown for transactions
114,2017-01-23,Number of transactions online GOV.UK Verify,300,Channel breakdown for transactions
115,2017-01-30,Number of transactions online GOV.UK Verify,375,Channel breakdown for transactions
116,2017-02-06,Number of transactions online GOV.UK Verify,465,Channel breakdown for transactions
117,2017-02-13,Number of transactions online GOV.UK Verify,570,Channel breakdown for transactions
118,2017-02-20,Number of transactions online GOV.UK Verify,690,Channel breakdown for transactions
119,2017-02-27,Number of transactions online GOV.UK Verify,825,Channel breakdown for transactions
120,2017-03-06,Number of transactions online GOV.UK Verify,825,Channel breakdown for transactions
121,2016-12-26,Number of transactions post,200,Channel breakdown for transactions
122,2017-01-02,Number of transactions post,220,Channel breakdown for transactions
123,2017-01-09,Number of transactions post,260,Channel breakdown for transactions
124,2017-01-16,Number of transactions post,320,Channel breakdown for transactions
125,2017-01-23,Number of transactions post,400,Channel breakdown for transactions
126,2017-01-30,Number of transactions post,500,Channel breakdown for transactions
127,2017-02-06,Number of transactions post,620,Channel breakdown for transactions
128,2017-02-13,Number of transactions post,760,Channel breakdown for transactions
129,2017-02-20,Number of transactions post,920,Channel breakdown for transactions
130,2017-02-27,Number of transactions post,1100,Channel breakdown for transactions
131,2017-03-06,Number of transactions post,1100,Channel breakdown for transactions
132,2016-12-26,Number of transactions online legacy,300,Channel breakdown for transactions
133,2017-01-02,Number of transactions online legacy,330,Channel breakdown for transactions
134,2017-01-09,Number of transactions online legacy,390,Channel breakdown for transactions
135,2017-01-16,Number of transactions online legacy,480,Channel breakdown for transactions
136,2017-01-23,Number of transactions online legacy,600,Channel breakdown for transactions
137,2017-01-30,Number of transactions online legacy,750,Channel breakdown for transactions
138,2017-02-06,Number of transactions online legacy,930,Channel breakdown for transactions
139,2017-02-13,Number of transactions online legacy,1140,Channel breakdown for transactions
140,2017-02-20,Number of transactions online legacy,1380,Channel breakdown for transactions
141,2017-02-27,Number of transactions online legacy,1650,Channel breakdown for transactions
142,2017-03-06,Number of transactions online legacy,1650,Channel breakdown for transactions
143,2016-12-26,Number of transactions phone,95,Channel breakdown for transactions
144,2017-01-02,Number of transactions phone,105,Channel breakdown for transactions
145,2017-01-09,Number of transactions phone,124,Channel breakdown for transactions
146,2017-01-16,Number of transactions phone,152,Channel breakdown for transactions
147,2017-01-23,Number of transactions phone,190,Channel breakdown for transactions
148,2017-01-30,Number of transactions phone,238,Channel breakdown for transactions
149,2017-02-06,Number of transactions phone,295,Channel breakdown for transactions
150,2017-02-13,Number of transactions phone,361,Channel breakdown for transactions
151,2017-02-20,Number of transactions phone,437,Channel breakdown for transactions
152,2017-02-27,Number of transactions phone,523,Channel breakdown for transactions
153,2017-03-06,Number of transactions phone,523,Channel breakdown for transactions
154,2016-12-26,Number of incomplete,100,Reasons for rejected applications
155,2017-01-02,Number of incomplete,110,Reasons for rejected applications
156,2017-01-09,Number of incomplete,130,Reasons for rejected applications
157,2017-01-16,Number of incomplete,160,Reasons for rejected applications
158,2017-01-23,Number of incomplete,200,Reasons for rejected applications
159,2017-01-30,Number of incomplete,250,Reasons for rejected applications
160,2017-02-06,Number of incomplete,310,Reasons for rejected applications
161,2017-02-13,Number of incomplete,380,Reasons for rejected applications
162,2017-02-20,Number of incomplete,460,Reasons for rejected applications
163,2017-02-27,Number of incomplete,550,Reasons for rejected applications
164,2017-03-06,Number of incomplete,550,Reasons for rejected applications
165,2016-12-26,Number of illegible,150,
166,2017-01-02,Number of illegible,165,
167,2017-01-09,Number of illegible,195,
168,2017-01-16,Number of illegible,240,
169,2017-01-23,Number of illegible,300,
170,2017-01-30,Number of illegible,375,
171,2017-02-06,Number of illegible,465,
172,2017-02-13,Number of illegible,570,
173,2017-02-20,Number of illegible,690,
174,2017-02-27,Number of illegible,825,
175,2017-03-06,Number of illegible,825,
176,2016-12-26,Number of error of form,200,
177,2017-01-02,Number of error of form,220,
178,2017-01-09,Number of error of form,260,
179,2017-01-16,Number of error of form,320,
180,2017-01-23,Number of error of form,400,
181,2017-01-30,Number of error of form,500,
182,2017-02-06,Number of error of form,620,
183,2017-02-13,Number of error of form,760,
184,2017-02-20,Number of error of form,920,
185,2017-02-27,Number of error of form,1100,
186,2017-03-06,Number of error of form,1100,
187,2016-12-26,Number of not elegible,300,
188,2017-01-02,Number of not elegible,330,
189,2017-01-09,Number of not elegible,390,
190,2017-01-16,Number of not elegible,480,
191,2017-01-23,Number of not elegible,600,
192,2017-01-30,Number of not elegible,750,
193,2017-02-06,Number of not elegible,930,
194,2017-02-13,Number of not elegible,1140,
195,2017-02-20,Number of not elegible,1380,
196,2017-02-27,Number of not elegible,1650,
197,2017-03-06,Number of not elegible,1650,
198,2016-12-26,Number of picture does not meet standards,300,Reasons for rejected applications
199,2017-01-02,Number of picture does not meet standards,330,Reasons for rejected applications
200,2017-01-09,Number of picture does not meet standards,390,Reasons for rejected applications
201,2017-01-16,Number of picture does not meet standards,480,Reasons for rejected applications
202,2017-01-23,Number of picture does not meet standards,600,Reasons for rejected applications
203,2017-01-30,Number of picture does not meet standards,750,Reasons for rejected applications
204,2017-02-06,Number of picture does not meet standards,930,Reasons for rejected applications
205,2017-02-13,Number of picture does not meet standards,1140,Reasons for rejected applications
206,2017-02-20,Number of picture does not meet standards,1380,Reasons for rejected applications
